time,wx,wy,wz
58.137842893600464,-0.2,-0.52,-0.16
58.1379919052124,-0.2,-0.52,-0.16
58.13814187049866,-0.2,-0.52,-0.16
58.13829278945923,-0.2,-0.52,-0.16
58.13844108581543,-0.2,-0.52,-0.16
58.13858890533447,-0.2,-0.52,-0.16
58.138736963272095,-0.2,-0.52,-0.16
58.13888502120972,-0.2,-0.52,-0.16
58.13903284072876,-0.2,-0.52,-0.16
58.139179944992065,-0.2,-0.52,-0.16
58.13932704925537,-0.2,-0.52,-0.16
58.1394898891449,-0.2,-0.52,-0.16
58.1396758556366,-0.2,-0.52,-0.16
58.14017200469971,-0.17,-0.5,-0.16
58.14062786102295,-0.17,-0.5,-0.16
58.140899896621704,-0.17,-0.5,-0.16
58.14116096496582,-0.17,-0.5,-0.16
58.14154887199402,-0.17,-0.5,-0.16
58.14181089401245,-0.17,-0.5,-0.16
58.14223885536194,-0.17,-0.5,-0.16
58.14237689971924,-0.17,-0.5,-0.16
58.14264106750488,-0.17,-0.5,-0.16
58.14290690422058,-0.17,-0.5,-0.16
58.14317798614502,-0.17,-0.5,-0.16
58.14343881607056,-0.17,-0.5,-0.16
58.14369988441467,-0.17,-0.5,-0.16
58.14395999908447,-0.17,-0.5,-0.16
58.14422798156738,-0.17,-0.5,-0.16
58.144550800323486,-0.17,-0.5,-0.16
58.14487290382385,-0.17,-0.5,-0.16
58.145158767700195,-0.17,-0.5,-0.16
58.14545297622681,-0.17,-0.5,-0.16
58.14573287963867,-0.17,-0.5,-0.16
58.14601373672485,-0.17,-0.5,-0.16
58.146283864974976,-0.17,-0.5,-0.16
58.146554946899414,-0.17,-0.5,-0.16
58.14682579040527,-0.17,-0.5,-0.16
58.147088050842285,-0.17,-0.5,-0.16
58.147347927093506,-0.17,-0.5,-0.16
58.14761686325073,-0.17,-0.5,-0.16
58.14791989326477,-0.17,-0.5,-0.16
58.148186922073364,-0.17,-0.5,-0.16
58.14849376678467,-0.17,-0.5,-0.16
58.14889693260193,-0.17,-0.5,-0.16
58.14906883239746,-0.17,-0.5,-0.16
58.149234771728516,-0.17,-0.5,-0.16
58.14946699142456,-0.17,-0.5,-0.16
58.14967203140259,-0.17,-0.5,-0.16
58.15002989768982,-0.13,-0.51,-0.16
58.15028190612793,-0.13,-0.51,-0.16
58.15035891532898,-0.13,-0.51,-0.16
58.15050792694092,-0.13,-0.51,-0.16
58.150656938552856,-0.13,-0.51,-0.16
58.150805950164795,-0.13,-0.51,-0.16
58.15095496177673,-0.13,-0.51,-0.16
58.15110397338867,-0.13,-0.51,-0.16
58.151251792907715,-0.13,-0.51,-0.16
58.151400089263916,-0.13,-0.51,-0.16
58.15154790878296,-0.13,-0.51,-0.16
58.15169596672058,-0.13,-0.51,-0.16
58.15184307098389,-0.13,-0.51,-0.16
58.15199089050293,-0.13,-0.51,-0.16
58.15213894844055,-0.13,-0.51,-0.16
58.15228796005249,-0.13,-0.51,-0.16
58.15243482589722,-0.13,-0.51,-0.16
58.152657985687256,-0.13,-0.51,-0.16
58.15286588668823,-0.13,-0.51,-0.16
58.15301489830017,-0.13,-0.51,-0.16
58.15316200256348,-0.13,-0.51,-0.16
58.153310775756836,-0.13,-0.51,-0.16
58.15345907211304,-0.13,-0.51,-0.16
58.15360689163208,-0.13,-0.51,-0.16
58.15375590324402,-0.13,-0.51,-0.16
58.15390396118164,-0.13,-0.51,-0.16
58.154051780700684,-0.13,-0.51,-0.16
58.154200077056885,-0.13,-0.51,-0.16
58.15434694290161,-0.13,-0.51,-0.16
58.15449595451355,-0.13,-0.51,-0.16
58.15465593338013,-0.13,-0.51,-0.16
58.15480995178223,-0.13,-0.51,-0.16
58.1549608707428,-0.13,-0.51,-0.16
58.155035972595215,-0.13,-0.51,-0.16
